OBJECTID,tract,pop2010,California_County,ZIP,City,Longitude,Latitude,CIscore,CIscoreP,CES_3_0_Percentile_Range,ozone,ozoneP,pm,pmP,diesel,dieselP,drink,drinkP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,ling,lingP,pov,povP,unemp,unempP,housingB,housingBP,PopChar,PopCharScore,PopCharP,Children_under10_pct,Pop_11_64_years_pct,Elderly_over_65_pct,Hispanic_pct,White_pct,African_American_pct,Native_American_pct,Asian_American_pct,Other_pct,OBJECTID_1,CIdecile,CIvigintile,tract_text,tract_id,OBJECTID_12,tract_1,Year_,City_1,LACity,Community_Name,SPA,SD,CD,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople,tract_id_1,Shape_Length,Shape_Area
1,6037920336.000000000000000,7027,Los Angeles,91321,Newhall,-118.535884400000000,34.385597099999998,29.399999999999999,58,55-60%,0.065000000000000,98,10.369999999999999,53,9.070000000000000,26,669.970000000000027,79,0.000000000000000,0,36.320000000000000,16,712.370000000000005,51,12.000000000000000,69,2.500000000000000,15,0.000000000000000,0,0,0,1.000000000000000,33,38.600000000000001,4.750000000000000,42,24.670000000000002,15,4.780000000000000,46,7.900000000000000,49,41.799999999999997,88,22.199999999999999,87,54.399999999999999,78,12.300000000000001,72,28.699999999999999,85,59.640000000000001,6.180000000000000,64,19.199999999999999,76.400000000000006,4.400000000000000,74.299999999999997,20.199999999999999,1.100000000000000,0.200000000000000,3.000000000000000,1.200000000000000,3342,6,12,6037920336,920336,2134,920336,2019,Santa Clarita,2,Santa Clarita,2,5,0,0,0,0,0,1,3,0,0,4,0,1,0,1,6,0,1.694000000000000,0,2,0,0,0.005000000000000,0,0,0,0,0.013000000000000,0,0,6,0,1.681000000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.919000000000000,0,0,0,0,11.919000000000000,920336,6695.407850749072168,1656761.430590579286218
2,6037920044.000000000000000,2686,Los Angeles,91350,Santa Clarita,-118.516404300000005,34.443548499999999,13.029999999999999,20,20-25%,0.065000000000000,98,9.960000000000001,43,25.559999999999999,77,449.959999999999980,46,0.000000000000000,0,42.659999999999997,18,691.789999999999964,49,0.000000000000000,0,0.300000000000000,2,0.100000000000000,43,0,0,0.000000000000000,0,34.619999999999997,4.260000000000000,31,32.049999999999997,29,3.260000000000000,13,11.930000000000000,88,4.900000000000000,19,3.300000000000000,25,7.200000000000000,3,6.600000000000000,25,7.600000000000000,6,29.469999999999999,3.060000000000000,20,12.100000000000000,81.000000000000000,6.900000000000000,24.199999999999999,60.899999999999999,2.300000000000000,0.100000000000000,9.000000000000000,3.400000000000000,6042,3,5,6037920044,920044,2105,920044,2019,Santa Clarita,2,Santa Clarita,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,920044,4568.318310002715407,997860.509774030419067
3,6037573003.000000000000000,1802,Los Angeles,90806,Long Beach,-118.202069100000003,33.794397199999999,52.240000000000002,91,90-95%,0.042000000000000,32,11.210000000000001,66,29.120000000000001,84,220.009999999999991,18,0.000000000000000,0,15151.879999999999200,97,1062.940000000000055,70,0.000000000000000,0,19.500000000000000,70,1.030000000000000,87,11,90,1.000000000000000,33,53.560000000000002,6.600000000000000,81,87.719999999999999,88,6.450000000000000,84,9.810000000000000,73,28.199999999999999,74,18.300000000000001,81,42.799999999999997,64,7.600000000000000,35,47.600000000000001,100,76.349999999999994,7.920000000000000,89,13.500000000000000,78.700000000000003,7.800000000000000,46.600000000000001,18.699999999999999,14.800000000000001,0.400000000000000,16.899999999999999,2.600000000000000,663,10,19,6037573003,573003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2746.793813674821649,449705.249519775563385
4,6037571704.000000000000000,4107,Los Angeles,90805,Long Beach,-118.187072299999997,33.849945800000000,35.490000000000002,69,65-70%,0.042000000000000,32,11.210000000000001,66,21.640000000000001,66,220.009999999999991,18,0.000000000000000,0,5732.619999999999891,83,538.419999999999959,35,0.000000000000000,0,2.000000000000000,14,0.000000000000000,0,12,91,0.000000000000000,0,35.619999999999997,4.390000000000000,34,71.390000000000001,80,6.200000000000000,80,8.800000000000001,61,33.399999999999999,80,14.900000000000000,74,57.600000000000001,82,14.199999999999999,81,35.899999999999999,95,78.000000000000000,8.090000000000000,91,17.699999999999999,76.900000000000006,5.400000000000000,59.600000000000001,7.000000000000000,16.199999999999999,0.300000000000000,15.000000000000000,1.900000000000000,2547,7,14,6037571704,571704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409.734295377524177,481164.376322396914475
5,6037570403.000000000000000,4587,Los Angeles,90805,Long Beach,-118.204485899999995,33.877866800000000,58.759999999999998,96,95-100% (highest scores),0.042000000000000,32,12.050000000000001,82,29.030000000000001,83,447.310000000000002,46,0.000000000000000,0,6310.939999999999600,86,1372.359999999999900,80,2.100000000000000,28,9.750000000000000,48,0.320000000000000,70,9,81,1.250000000000000,37,56.500000000000000,6.960000000000000,86,75.700000000000003,82,5.590000000000000,68,9.449999999999999,68,47.200000000000003,92,19.600000000000001,84,64.900000000000006,89,16.699999999999999,90,35.200000000000003,95,81.420000000000002,8.440000000000000,94,20.000000000000000,75.299999999999997,4.700000000000000,76.799999999999997,2.500000000000000,15.300000000000001,0.100000000000000,4.400000000000000,0.900000000000000,281,10,20,6037570403,570403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222.654439772764817,571871.004718740587123
6,6037553503.000000000000000,2768,Los Angeles,90723,Paramount,-118.154118600000004,33.913045900000000,36.810000000000002,71,70-75%,0.044000000000000,40,12.050000000000001,82,20.989999999999998,65,375.240000000000009,39,0.000000000000000,0,6032.260000000000218,85,2848.920000000000073,97,0.000000000000000,0,0.000000000000000,0,0.100000000000000,43,7,72,1.250000000000000,37,48.880000000000003,6.020000000000000,69,33.979999999999997,32,5.900000000000000,74,6.530000000000000,31,33.600000000000001,80,13.400000000000000,71,45.399999999999999,67,13.000000000000000,76,22.000000000000000,67,58.960000000000001,6.110000000000000,63,17.899999999999999,76.400000000000006,5.700000000000000,78.700000000000003,4.500000000000000,13.600000000000000,0.100000000000000,2.000000000000000,1.200000000000000,2159,8,15,6037553503,553503,1697,553503,2019,Paramount,2,Paramount,6,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,1,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.368000000000000,0,0,0,0,2.368000000000000,553503,2897.284704384598172,424001.275557355722412
7,6037552302.000000000000000,3648,Los Angeles,90650,Norwalk,-118.057767100000007,33.906522000000002,53.020000000000003,92,90-95%,0.046000000000000,53,11.630000000000001,69,29.850000000000001,85,481.920000000000016,51,0.000000000000000,0,5287.989999999999782,81,1274.819999999999936,77,17.550000000000001,81,22.250000000000000,74,0.340000000000000,71,2,29,3.250000000000000,63,60.960000000000001,7.510000000000000,93,58.840000000000003,68,6.060000000000000,78,12.550000000000001,91,14.600000000000000,51,14.800000000000001,74,25.399999999999999,37,8.900000000000000,47,25.600000000000001,78,68.090000000000003,7.060000000000000,77,12.699999999999999,68.700000000000003,18.600000000000001,60.600000000000001,18.699999999999999,5.400000000000000,0.200000000000000,13.400000000000000,1.700000000000000,651,10,19,6037552302,552302,1684,552302,2019,Norwalk,2,Norwalk,7,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000000000000,0,0,0,0,1.000000000000000,552302,4583.174415352973483,955186.134682752192020
8,6037503104.000000000000000,2719,Los Angeles,90605,Whittier,-118.043266200000005,33.920242700000003,42.430000000000000,79,75-80%,0.046000000000000,53,12.050000000000001,82,29.020000000000000,83,491.779999999999973,52,0.000000000000000,0,5350.560000000000400,82,466.050000000000011,27,15.600000000000000,78,6.850000000000000,39,0.080000000000000,31,2,29,9.000000000000000,87,53.710000000000001,6.620000000000000,81,46.810000000000002,52,4.670000000000000,43,8.820000000000000,61,38.500000000000000,86,11.699999999999999,65,44.200000000000003,66,13.100000000000000,76,21.500000000000000,65,61.850000000000001,6.410000000000000,68,18.699999999999999,74.599999999999994,6.700000000000000,88.599999999999994,7.900000000000000,0.100000000000000,0.100000000000000,2.300000000000000,1.000000000000000,1757,8,16,6037503104,503104,1427,503104,2019,Unincorporated,2,Unincorporated South Whittier,7,4,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,1,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,1,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.365000000000000,0,0,0,0,6.365000000000000,503104,3332.533256986084325,546867.702129058423452
9,6037550602.000000000000000,4211,Los Angeles,90240,Downey,-118.122363399999998,33.955124800000000,26.930000000000000,54,50-55%,0.046000000000000,53,12.050000000000001,82,21.239999999999998,65,671.889999999999986,79,0.000000000000000,0,6952.220000000000255,88,967.419999999999959,66,7.000000000000000,52,3.000000000000000,22,0.000000000000000,0,7,72,0.000000000000000,0,50.979999999999997,6.280000000000000,75,34.189999999999998,32,4.300000000000000,33,8.010000000000000,51,23.600000000000001,68,15.300000000000001,75,26.600000000000001,39,6.700000000000000,26,9.900000000000000,12,41.359999999999999,4.290000000000000,37,11.199999999999999,75.099999999999994,13.699999999999999,60.899999999999999,26.800000000000001,1.600000000000000,0.100000000000000,9.500000000000000,1.000000000000000,3712,6,11,6037550602,550602,1660,550602,2019,Downey,2,Downey,7,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,1,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.365000000000000,0,0,0,0,1.365000000000000,550602,5075.026252500121700,1481503.499988820869476
10,6037550601.000000000000000,5639,Los Angeles,90240,Downey,-118.117158200000006,33.962269200000001,37.950000000000003,73,70-75%,0.046000000000000,53,12.050000000000001,82,24.320000000000000,74,641.440000000000055,72,0.000000000000000,0,7271.760000000000218,89,2109.159999999999854,92,7.750000000000000,55,4.850000000000000,29,3.050000000000000,95,8,76,2.050000000000000,50,64.310000000000002,7.920000000000000,96,32.030000000000001,29,4.580000000000000,41,7.530000000000000,44,26.600000000000001,72,11.900000000000000,66,27.100000000000001,40,6.400000000000000,24,23.000000000000000,71,46.200000000000003,4.790000000000000,44,15.199999999999999,74.299999999999997,10.500000000000000,71.599999999999994,15.500000000000000,3.100000000000000,0.200000000000000,8.699999999999999,0.900000000000000,2156,8,15,6037550601,550601,1659,550601,2019,Downey,2,Downey,7,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000000000000000,0,0,0,0,3.000000000000000,550601,4439.861530842645152,1172323.800603776006028
