Company Name,Address,City,State,ZIP Code,County,Neighborhood,Phone Number Combined,Website,Primary SIC Description,SIC Code 1,Cuisine Code Description,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Twitter,Facebook,Record Type,WhatTypes,Rating
Joseph's Cafe,1775 Ivar Ave,Los Angeles,CA,90028,Los Angeles,Hollywood Hills,(323) 462-8697,Josephscafe.Com,Apartments,581208,,1100,2000,1100,2000,1100,2000,1100,2000,Closed,,Closed,,,http://www.facebook.com/josephsofhollywood?rf=154504301309513,Verified,,2.48
Kaban Persian Restaurant Inc,3250 Cahuenga Blvd W,Los Angeles,CA,90068,Los Angeles,Hollywood Hills West,Not Available,,Archives,581208,MEDITERRANEAN,,,,,,,,,,,,,,,Verified,,0.90
Santee Falafel,1335 Santee St,Los Angeles,CA,90015,Los Angeles,Fashion District,(213) 749-2555,Santeefalafel.Com,Art,581208,MOROCCAN,,,,,,,,,,,,,,,Verified,Sightseeing,5.78
KFC,4525 Torrance Blvd,Torrance,CA,90503,Los Angeles,,(310) 542-0283,Kfc.Com,Art Centers,581208,CHICKEN,1000,2200,1000,2200,1000,2200,1000,2300,1000,2300,1000,2200,http://twitter.com/kfc,http://www.facebook.com/kfc,Verified,Sightseeing,2.39
Roro's Chicken,6660 W Sunset Blvd # C,Los Angeles,CA,90028,Los Angeles,Central Hollywood,(323) 461-9999,Roroschicken.Com,Art Galleries & Dealers,581208,CHICKEN,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,,https://www.facebook.com/pages/roros-chicken-of-hollywood/183662178465,Verified,Sightseeing,2.13
Wetzels Pretzels,9301 Tampa Ave # 5547,Northridge,CA,91324,Los Angeles,Northridge,(818) 709-3714,Wetzels.Com,Arts Organizations & Information,546108,,,,,,,,,,,,,,http://twitter.com/wetzelspretzels,http://www.facebook.com/wetzelspretzels,Verified,,4.16
LA Cabanita De Don Chepe,6757 Lankershim Blvd,North Hollywood,CA,91606,Los Angeles,Mid-Town North Hollywood,(818) 982-6066,,Associations,581208,,,,,,,,,,,,,,,,Verified,,1.45
Sushi Ya,8650 W Sunset Blvd,West Hollywood,CA,90069,Los Angeles,West Hollywood,(310) 659-9804,Sushiyaonsunset.Com,Bakers-Retail,581208,SUSHI,1130,2330,1130,2330,1130,Open 24 Hours,1200,30,1230,100,1230,2330,http://twitter.com/labite,http://www.facebook.com/sushiyaonsunset,Verified,,4.89
Jack In The Box,3188 Baldwin Park Blvd,Baldwin Park,CA,91706,Los Angeles,Baldwin Park,(626) 337-6098,Jackinthebox.Com,Ballrooms,581208,BURGERS,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://twitter.com/jackbox,http://www.facebook.com/jackinthebox,Verified,,5.30
Winchell's,13070 Valley Blvd,La Puente,CA,91746,Los Angeles,Avocado Heights,(626) 336-9081,Winchells.Com,Banquet Rooms,546105,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://www.twitter.com/winchellsdonuts,http://www.facebook.com/pages/winchells-donut-house/62696235895,Verified,,5.75
Crave Sushi Inc,14502 Ventura Blvd,Sherman Oaks,CA,91403,Los Angeles,Sherman Oaks,(818) 990-1188,Cravesushishermanoaks.Com,Barbecue Restaurant,581208,SUSHI,,,,,,,,,,,,,,,Verified,Restaurants,4.72
Chuck E Cheese's,5151 Lakewood Blvd,Lakewood,CA,90712,Los Angeles,Lakewood Mutual,(562) 634-5520,Chuckecheese.Com,Barbers,581222,,1100,2100,1100,2100,1100,2100,1100,2200,1000,2200,1100,2100,http://twitter.com/chuckecheeses/,http://www.facebook.com/officialchuckecheeses/,Verified,,1.43
Trattoria Allegria,3600 Ocean View Blvd # 12,Glendale,CA,91208,Los Angeles,Montrose Verdugo City,(818) 248-5113,Trattoriaallegria.Com,Bars,581208,ITALIAN,,,,,,,,,,,,,,http://www.facebook.com/montrosewinekabob,Verified,Restaurants,3.37
Sun Food Mart & Deli,11019 S Alameda St,Los Angeles,CA,90059,Los Angeles,Watts,(323) 357-0381,Funfoodmartanddeli.Com,Bed & Breakfast Accommodations,541103,,,,,,,,,,,,,,,,Verified,Hotels,2.09
Cater Depot,16216 Pioneer Blvd,Norwalk,CA,90650,Los Angeles,Norwalk,(562) 219-0627,,Botanical Gardens,594716,,,,,,,,,,,,,,,,Verified,Sightseeing,0.92
